DATE,NC000334Q
2002-01-01,80.599
2002-04-01,80.988
2002-07-01,80.934
2002-10-01,81.633
2003-01-01,82.109
2003-04-01,82.495
2003-07-01,82.505
2003-10-01,83.159
2004-01-01,83.783
2004-04-01,84.721
2004-07-01,84.898
2004-10-01,85.711
2005-01-01,86.235
2005-04-01,87.223
2005-07-01,87.754
2005-10-01,88.416
2006-01-01,89.15
2006-04-01,90.118
2006-07-01,90.315
2006-10-01,90.713
2007-01-01,91.773
2007-04-01,92.645
2007-07-01,92.585
2007-10-01,92.988
2008-01-01,93.53
2008-04-01,94.267
2008-07-01,94.5
2008-10-01,94.757
2009-01-01,94.86
2009-04-01,95.128
2009-07-01,94.806
2009-10-01,95.202
2010-01-01,95.235
2010-04-01,96.206
2010-07-01,96.231
2010-10-01,96.763
2011-01-01,97.087
2011-04-01,98.274
2011-07-01,98.618
2011-10-01,98.467
2012-01-01,99.221
2012-04-01,99.981
2012-07-01,100.27
2012-10-01,100.528
2013-01-01,101.055
2013-04-01,101.74
2013-07-01,102.022
2013-10-01,102.273
2014-01-01,103.055
2014-04-01,103.811
2014-07-01,103.985
2014-10-01,103.736
2015-01-01,104.037
2015-04-01,104.914
2015-07-01,104.973
2015-10-01,104.83
2016-01-01,104.856
2016-04-01,105.914
2016-07-01,106.11
2016-10-01,106.201
2017-01-01,107.167
2017-04-01,107.679
2017-07-01,108.004
2017-10-01,108.331
2018-01-01,109.469
2018-04-01,110.462
2018-07-01,110.663
2018-10-01,110.933
2019-01-01,111.603
2019-04-01,112.515
2019-07-01,112.608
